"No.","Time","Source","Destination","Protocol","Length","Info"
"2230","4.840421706","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2231","4.840461186","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2232","4.840471528","10.76.105.1","10.244.105.1","MAVLink 2.0","92","TIMESYNC"
"2233","4.840554155","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=106174 Win=9617 Len=0 TSval=2474327838 TSecr=519151368"
"2234","4.849333746","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ALTITUDE"
"2235","4.849369641","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2236","4.849379152","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2237","4.849387250","10.76.105.1","10.244.105.1","MAVLink 2.0","119","ESTIMATOR_STATUS"
"2238","4.849394906","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2239","4.849402545","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"2240","4.849463075","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=106461 Win=9617 Len=0 TSval=2474327847 TSecr=519151378"
"2241","4.858502302","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2242","4.858542481","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2243","4.858552992","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2244","4.858561308","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"2245","4.858569369","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"2246","4.858672938","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=106672 Win=9617 Len=0 TSval=2474327856 TSecr=519151398"
"2247","4.867582532","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2248","4.867635563","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2249","4.867656533","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2250","4.867709361","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=107004 Win=9617 Len=0 TSval=2474327865 TSecr=519151402"
"2251","4.876298805","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2252","4.876420537","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2253","4.876447480","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2254","4.876470638","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=107161 Win=9617 Len=0 TSval=2474327874 TSecr=519151417"
"2255","4.885231266","10.76.105.1","10.244.105.1","MAVLink 2.0","120","RC_CHANNELS"
"2256","4.885284496","10.76.105.1","10.244.105.1","MAVLink 2.0","123","GPS_RAW_INT"
"2257","4.885336175","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=107272 Win=9617 Len=0 TSval=2474327883 TSecr=519151418"
"2258","4.903426764","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
